t_seconds,value_ut
0.000000000,48.000000
0.009191734,42.600000
0.020297159,47.550000
0.030829137,41.550000
0.041266378,49.800000
0.052513482,40.650000
0.063828449,49.350000
0.075168025,41.400000
0.084238556,49.050000
0.094072285,40.650000
0.102743261,49.050000
0.114272529,40.050000
0.125219062,49.050000
0.134347757,40.800000
0.145406053,48.150000
0.156221231,43.200000
0.167584557,44.400000
0.178710326,45.750000
0.188087107,45.000000
0.197047190,43.350000
0.208006248,45.750000
0.219001347,47.100000
0.228152504,44.100000
0.239317643,47.250000
0.250390556,41.400000
0.259333753,47.400000
0.268442130,43.200000
0.279003515,46.800000
0.289020769,43.350000
0.297908309,45.000000
0.307715143,44.400000
0.316678528,43.050000
0.326952633,45.600000
0.336722736,42.600000
0.346828893,47.700000
0.356186683,42.750000
0.367331244,45.600000
0.377801548,45.300000
0.388998126,43.050000
0.398309161,45.600000
0.408037287,45.150000
0.418211858,45.150000
0.428399997,43.200000
0.438033921,46.200000
0.448207650,44.700000
0.456915901,43.650000
0.465956080,47.250000
0.477113910,44.400000
0.486795418,45.900000
0.496673527,43.500000
0.506044844,47.400000
0.515404648,42.300000
0.525739785,48.300000
0.536709173,43.650000
0.546931316,46.950000
0.558451778,45.300000
0.567183024,45.900000
0.575931164,43.050000
0.586367348,46.800000
0.596874353,43.950000
0.606631926,46.800000
0.616675177,43.200000
0.625659085,49.350000
0.637043200,43.950000
0.646025231,47.250000
0.655538106,41.850000
0.664423542,49.050000
0.675575690,42.150000
0.684235248,48.900000
0.694623351,40.350000
0.704871536,48.750000
0.713868029,39.900000
0.725230687,48.450000
0.734520291,40.200000
0.743633993,48.750000
0.753784565,40.650000
0.763273760,49.500000
0.774541389,41.250000
0.784353877,48.000000
0.793281283,39.900000
0.803110847,48.900000
0.812727252,40.650000
0.822931233,50.100000
0.834422684,41.250000
0.845673924,47.100000
0.856884195,44.100000
0.866540670,46.800000
0.876238297,43.500000
0.887345933,45.900000
0.897301079,44.100000
0.906881285,46.650000
0.916594607,43.500000
0.925851121,47.100000
0.935899714,42.450000
0.947198523,45.600000
0.955860258,42.900000
0.964937975,48.750000
0.976144144,42.900000
0.986657088,46.200000
0.997366781,44.250000
1.008891040,42.300000
1.020421685,48.150000
1.029232034,43.350000
