t_seconds,value_ut
0.000000000,57.000000
0.011088027,28.950000
0.021521419,62.700000
0.032508216,25.650000
0.044038354,62.250000
0.053516349,26.700000
0.063536678,62.850000
0.072530349,27.000000
0.083797964,62.700000
0.094121513,27.750000
0.104245429,61.650000
0.115634920,33.750000
0.126882099,50.400000
0.135821068,33.150000
0.145579767,57.450000
0.154772243,30.600000
0.164857526,59.550000
0.176252048,35.850000
0.185949851,55.200000
0.196361589,37.650000
0.206909588,49.650000
0.217696131,45.000000
0.228416018,41.550000
0.239754210,55.650000
0.248384225,40.650000
0.258869346,51.000000
0.268089669,42.000000
0.277288709,41.700000
0.287456819,48.000000
0.297466124,43.500000
0.307611371,46.200000
0.316479420,38.100000
0.325497825,57.450000
0.334339893,28.650000
0.343001584,63.600000
0.353447816,26.400000
0.364550518,61.350000
0.375304074,31.350000
0.384682973,61.200000
0.395049261,30.000000
0.406535227,51.900000
0.417857605,46.050000
0.429049776,37.800000
0.439393183,53.550000
0.450612346,31.200000
0.459750930,55.800000
0.468537612,40.800000
0.478102827,47.100000
0.487871212,44.400000
0.497467299,43.350000
0.506858840,51.000000
0.517354574,42.300000
0.527544325,46.200000
0.538431788,49.950000
0.547506158,46.350000
0.557471537,43.650000
0.566842232,50.850000
0.577638932,44.850000
0.587271287,48.150000
0.598721649,50.700000
0.607977585,44.400000
0.618979109,52.350000
0.629047519,37.050000
0.639537940,54.900000
0.650049560,31.800000
0.661108745,61.350000
0.671247421,27.900000
0.682702913,64.050000
0.692567142,27.300000
0.701338066,62.250000
0.711246811,28.050000
0.720669471,59.250000
0.732261028,26.700000
0.741824020,62.850000
0.751559450,27.150000
0.760867355,61.200000
0.771341099,29.250000
0.780165433,57.750000
0.788878776,38.700000
0.797622975,43.950000
0.809181528,36.150000
0.817886188,45.150000
0.826988027,49.800000
0.836466690,37.500000
0.846691822,50.100000
0.857941063,45.900000
0.869441905,35.100000
0.880980179,61.050000
0.890090775,32.250000
0.900686711,59.850000
0.912078749,26.100000
0.922304827,64.350000
0.931473552,27.300000
0.941200342,61.950000
0.951053558,28.200000
0.960120064,56.700000
0.970257593,31.800000
0.981801132,62.700000
0.992592679,26.700000
1.003413040,62.700000
1.012316324,26.700000
1.021224913,61.650000
1.032203634,26.400000
1.043662502,62.550000
1.053040616,26.550000
1.062108649,63.150000
1.072655976,26.700000
1.082731055,64.200000
1.092649496,26.400000
1.101396989,61.800000
1.111057690,28.950000
1.121591161,62.250000
1.132422317,25.050000
1.143197602,63.600000
1.151846910,26.400000
1.162213388,63.300000
1.172266455,25.950000
1.181542531,62.250000
1.190679528,30.150000
1.199305015,53.850000
1.209998325,32.550000
1.220966016,61.350000
1.231954280,27.150000
1.241542800,62.100000
1.251878717,26.850000
1.261346694,62.100000
1.270838554,29.850000
1.280832247,60.600000
1.291113811,28.950000
1.301250097,61.200000
1.312642764,25.650000
1.322700243,63.900000
1.333973391,27.300000
1.344957888,58.950000
1.354907042,30.150000
1.364765374,60.600000
1.375460470,32.250000
1.384571915,60.450000
1.395144756,31.500000
1.406695281,52.050000
1.416723813,39.450000
1.426451694,52.200000
1.437389792,43.350000
1.447935585,44.700000
1.457001242,40.200000
1.466600174,51.900000
1.475702301,33.150000
1.484639812,60.900000
1.494946655,30.000000
1.504855408,59.850000
1.515373062,32.700000
1.524876992,59.550000
1.534530378,30.300000
1.544554017,61.500000
1.554091012,28.350000
1.563818991,62.250000
1.573535605,27.000000
1.582538469,64.050000
1.592367795,25.800000
1.602102640,63.300000
1.613662399,27.300000
1.622732351,62.550000
1.634025701,27.750000
1.644001515,61.950000
1.655326549,31.500000
1.666357062,53.100000
1.677502578,43.800000
1.687148809,48.750000
1.696779261,38.700000
1.707129158,48.600000
1.716001034,34.950000
1.726802366,49.650000
1.735469113,32.400000
1.746506308,53.100000
1.756293089,36.450000
1.766581179,51.750000
1.777438761,43.350000
1.786319998,53.850000
1.795267483,31.500000
1.805268625,58.200000
1.816328783,36.600000
1.825892645,55.800000
1.836749846,39.600000
1.847103781,50.700000
1.856271460,36.300000
1.866958877,49.050000
1.878151614,47.250000
1.888751063,39.450000
1.897779676,45.150000
1.906656871,50.550000
1.915533527,33.000000
1.926669450,52.200000
1.936341997,37.800000
1.944937969,59.100000
1.956366448,37.350000
1.966645596,52.050000
1.978135688,47.100000
1.986922205,49.800000
1.996205283,36.900000
2.005697406,56.400000
2.016017581,35.100000
2.024702892,59.850000
2.035182545,30.450000
2.044939956,60.150000
2.054747045,29.700000
2.064844481,60.000000
2.076132322,35.700000
2.085109075,59.100000
2.093999508,27.750000
2.105240631,58.200000
2.115173773,31.350000
2.125658397,56.400000
2.135632840,33.600000
2.144708091,61.350000
2.155355339,31.500000
2.165328651,58.350000
2.176304756,36.600000
2.185439534,56.550000
2.195444997,32.250000
2.206664412,51.300000
2.217842623,45.300000
2.228341226,41.550000
2.237577792,43.950000
2.247407912,47.100000
2.256278142,35.700000
2.266502929,52.350000
2.276500844,37.800000
2.286047568,54.750000
2.295463200,33.150000
2.306702816,52.200000
2.317760749,44.400000
2.329093923,38.400000
2.337764218,45.150000
2.347625872,46.350000
2.359039712,52.350000
2.369696565,33.900000
2.380461063,58.200000
2.391451111,27.150000
2.402605477,63.300000
2.411303277,28.650000
2.422761503,64.050000
2.431506083,27.900000
2.441028367,60.750000
2.450642780,30.150000
2.460298295,58.200000
2.468911198,38.250000
2.479680206,55.350000
2.489493645,34.800000
2.498448965,49.650000
2.507191730,48.900000
2.517551387,44.100000
2.527778440,44.700000
2.538906757,51.150000
2.548839512,37.950000
2.558269226,47.550000
2.569770673,33.600000
2.579754179,56.550000
2.589952984,32.700000
2.598833223,50.700000
2.609236372,37.050000
2.618748936,49.950000
2.628689420,39.750000
2.638686260,50.550000
2.647612646,46.800000
2.657396478,42.900000
2.666984909,50.250000
2.676269629,37.050000
2.685095318,58.800000
2.695243563,31.200000
2.706462007,52.350000
2.715239525,31.050000
2.725257163,59.250000
2.735788700,33.450000
2.744579571,60.450000
2.755623993,33.300000
2.765726818,56.250000
2.774449721,27.900000
2.783346942,64.050000
2.793780511,27.150000
2.804209998,61.650000
2.813131937,26.250000
2.822172757,63.150000
2.832407911,25.800000
2.841167497,61.800000
2.849853300,33.900000
2.859205937,53.700000
2.868068485,42.900000
2.879392830,53.400000
2.890363080,30.600000
2.899416433,54.300000
2.910734809,30.900000
